cfb_name,teamrankings_name,Logo,Color1,Color2
Oregon,Oregon,http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,#154733,#FEE123
Oregon State,Oregon St,http://a.espncdn.com/i/teamlogos/ncaa/500/204.png,#C34500,#000000
Pacific,Pacific,#N/A,#N/A,#N/A
Penn State,Penn St,http://a.espncdn.com/i/teamlogos/ncaa/500/213.png,#041e42,#FFFFFF
Pennsylvania,Penn,#N/A,#N/A,#N/A
Pepperdine,Pepperdine,#N/A,#N/A,#N/A
Pittsburgh,Pittsburgh,http://a.espncdn.com/i/teamlogos/ncaa/500/221.png,#1c2957,#cdb87d
Portland,Portland,#N/A,#N/A,#N/A
Portland State,Portland St,#N/A,#N/A,#N/A
Prairie View A&M,Prairie View,#N/A,#N/A,#N/A
Presbyterian,Presbyterian,,,
Princeton,Princeton,#N/A,#N/A,#N/A
Providence,Providence,#N/A,#N/A,#N/A
Purdue,Purdue,http://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,#000000,#CEB888
Purdue Fort Wayne,Purdue FW,#N/A,#N/A,#N/A
Queens University,Queens,,,
Quinnipiac,Quinnipiac,#N/A,#N/A,#N/A
Radford,Radford,#N/A,#N/A,#N/A
Rhode Island,Rhode Island,#N/A,#N/A,#N/A
Rice,Rice,http://a.espncdn.com/i/teamlogos/ncaa/500/242.png,#002469,#5e6062
Richmond,Richmond,#N/A,#N/A,#N/A
Rider,Rider,#N/A,#N/A,#N/A
Robert Morris,Robert Morris,#N/A,#N/A,#N/A
Rutgers,Rutgers,http://a.espncdn.com/i/teamlogos/ncaa/500/164.png,#d21034,#5F6A72
Sacramento State,Sacramento St,#N/A,#N/A,#N/A
Sacred Heart,Sacred Heart,#N/A,#N/A,#N/A
Saint Joseph's,Saint Joseph's,#N/A,#N/A,#N/A
Saint Louis,Saint Louis,#N/A,#N/A,#N/A
Saint Mary's,Saint Mary's,#N/A,#N/A,#N/A
Saint Peter's,Saint Peter's,#N/A,#N/A,#N/A
Sam Houston,Sam Houston,http://a.espncdn.com/i/teamlogos/ncaa/500/2534.png,#fe5100,#ffffff
Samford,Samford,#N/A,#N/A,#N/A
San Diego,San Diego,#N/A,#N/A,#N/A
San Diego State,San Diego St,http://a.espncdn.com/i/teamlogos/ncaa/500/21.png,#C41230,#000000
San Francisco,San Francisco,#N/A,#N/A,#N/A
San JosŽ State,San Jose St,#N/A,#N/A,#N/A
Santa Clara,Santa Clara,#N/A,#N/A,#N/A
Savannah State,Savannah St,#N/A,#N/A,#N/A
SE Louisiana,SE Louisiana,#N/A,#N/A,#N/A
Seattle U,Seattle,#N/A,#N/A,#N/A
Seton Hall,Seton Hall,#N/A,#N/A,#N/A
